method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
NJstar-STRICT,50,20,74,NJstar_STRICT_completed_p50_rep20_seed74.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep20_seed74.csv,0.4952380952380952,105,52,53,0,52,0.015367171609002,0.0091876916319301,0.9595550270226498,0.8941347221036454,0.0070044220001364,True,True,True,13,13,0.0413123206978954,3.496818352346037,0.0,0.0,missing_p50_rep20_seed74.csv,NJstar_STRICT_completed_p50_rep20_seed74.csv,
NJstar-STRICT,50,21,75,NJstar_STRICT_completed_p50_rep21_seed75.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep21_seed75.csv,0.4952380952380952,105,52,53,0,52,0.0090205545885856,0.0055490344380413,0.986148392300861,0.9700332963374028,0.0072715510000307,True,True,True,13,13,0.0217398091181572,1.0830267177257462,0.0,0.0,missing_p50_rep21_seed75.csv,NJstar_STRICT_completed_p50_rep21_seed75.csv,
NJstar-STRICT,50,22,76,NJstar_STRICT_completed_p50_rep22_seed76.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep22_seed76.csv,0.4952380952380952,105,52,53,0,52,0.0308481463534748,0.0253711128909293,0.8441902817107529,0.6735251430035003,0.0069865409998328,True,True,True,13,13,0.0657773601413375,5.042764554207968,0.0,0.0,missing_p50_rep22_seed76.csv,NJstar_STRICT_completed_p50_rep22_seed76.csv,
NJstar-STRICT,50,24,78,NJstar_STRICT_completed_p50_rep24_seed78.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep24_seed78.csv,0.4952380952380952,105,52,53,0,52,0.0206518251705715,0.0111963845779376,0.9336500804781964,0.90651412959959,0.0068769059998885,True,True,True,13,13,0.0178316550884048,0.8602606883260703,0.0,0.0,missing_p50_rep24_seed78.csv,NJstar_STRICT_completed_p50_rep24_seed78.csv,
NJstar-STRICT,50,25,79,NJstar_STRICT_completed_p50_rep25_seed79.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep25_seed79.csv,0.4952380952380952,105,52,53,0,52,0.0220306448579627,0.0107405330403207,0.9219432027443688,0.9551780073422692,0.006918417999941,True,True,True,13,13,0.0169602846034722,0.832762817115411,0.0,0.0,missing_p50_rep25_seed79.csv,NJstar_STRICT_completed_p50_rep25_seed79.csv,
NJstar-STRICT,50,26,80,NJstar_STRICT_completed_p50_rep26_seed80.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep26_seed80.csv,0.4952380952380952,105,52,53,0,52,0.0321325923541035,0.020035834018512,0.8515212037127712,0.8499957312387945,0.0071819129998402,True,True,True,13,13,0.0365625357099904,1.939387465389611,0.0,0.0,missing_p50_rep26_seed80.csv,NJstar_STRICT_completed_p50_rep26_seed80.csv,
NJstar-STRICT,50,27,81,NJstar_STRICT_completed_p50_rep27_seed81.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep27_seed81.csv,0.4952380952380952,105,52,53,0,52,0.003303428024859,0.0027327895065922,0.9974643873869564,0.9899257235550244,0.007534699999951,True,True,True,13,13,0.0163250298869256,0.7974489669257971,0.0,0.0,missing_p50_rep27_seed81.csv,NJstar_STRICT_completed_p50_rep27_seed81.csv,
NJstar-STRICT,50,28,82,NJstar_STRICT_completed_p50_rep28_seed82.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep28_seed82.csv,0.4952380952380952,105,52,53,0,52,0.024744699884724,0.011209404878513,0.9187141002816034,0.9105267651327584,0.0108270329999413,True,True,True,13,13,0.0178209637135491,0.8596779993888365,0.0,0.0,missing_p50_rep28_seed82.csv,NJstar_STRICT_completed_p50_rep28_seed82.csv,
NJstar-STRICT,50,29,83,NJstar_STRICT_completed_p50_rep29_seed83.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep29_seed83.csv,0.4952380952380952,105,52,53,0,52,0.0310160610917413,0.0228301780437534,0.8390870332674375,0.7454110817040894,0.0082199830001172,True,True,True,13,13,0.0552303751046503,134412883404.0216,0.0,0.0,missing_p50_rep29_seed83.csv,NJstar_STRICT_completed_p50_rep29_seed83.csv,
NJstar-STRICT,65,4,58,NJstar_STRICT_completed_p65_rep04_seed58.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p65_rep04_seed58.csv,0.6476190476190476,105,68,37,0,68,0.0391994796168118,0.0266684600984756,0.7885620363205951,0.79031950223308,0.0058602310000424,True,True,True,13,13,0.0723705059169097,4.982243571447856,0.0,0.0,missing_p65_rep04_seed58.csv,NJstar_STRICT_completed_p65_rep04_seed58.csv,
