method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_init,Delta_final,Delta_reduction_percent,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,n_weighted_lsq_fits,n_graft_evaluations,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,masked_file,__metadata_scope,__metadata_source
MW-proj,50,2,56,MWproj_completed_p50_rep02_seed56.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep02_seed56.csv,0.4952380952380952,105,52,53,27,13.123496934000286,0.0186054568352146,0.0060742707401241,0.8859019231731173,0.7614616238367625,193.9246617668205,38.885550766411214,79.94811468942095,38.885550766411214,0.0162962294914018,0.0854627489371675,0.6644381676487218,0.0,0.0,9.817052409712704e-05,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep02_seed56.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,3,57,MWproj_completed_p50_rep03_seed57.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep03_seed57.csv,0.4952380952380952,105,52,53,27,12.40010360800079,0.0063012655163253,0.0034931069900597,0.9957411911633198,0.9569708870485784,165.30158187214397,27.043708132228865,83.63977656720407,27.043708132228865,0.0120327008322367,0.0594367211697337,0.4620963705965106,0.0,0.0,0.0001381085611198,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep03_seed57.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,4,58,MWproj_completed_p50_rep04_seed58.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep04_seed58.csv,0.4952380952380952,105,52,53,27,14.0395663149975,0.0184316952335774,0.005922761115627,0.8736044057444546,0.8522154870656535,265.542934185737,31.363494899149387,88.18891754912528,31.363494899149387,0.0136895552993382,0.0689307580201085,0.5359086517002961,0.0,0.0,0.0001174351602557,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep04_seed58.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,5,59,MWproj_completed_p50_rep05_seed59.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep05_seed59.csv,0.4952380952380952,105,52,53,27,19.49840354899061,0.0034116376830214,0.0021269631309732,0.996397854551856,0.939383590881926,414.5207645683766,34.854263042556525,91.59167259597989,34.854263042556525,0.014984923200933,0.0766027759177066,0.595555475345017,0.0,0.0,0.0001055463975602,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep05_seed59.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,6,60,MWproj_completed_p50_rep06_seed60.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep06_seed60.csv,0.4952380952380952,105,52,53,27,15.513237241000752,0.001567971712957,0.0011711493062298,0.999022970514124,0.9619226500469562,445.0037374223942,47.75678878191511,89.268227485338,47.75678878191511,0.0189644118480118,0.1049599753448683,0.8160211853923867,0.0,0.0,0.0001207152300959,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep06_seed60.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,7,61,MWproj_completed_p50_rep07_seed61.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep07_seed61.csv,0.4952380952380952,105,52,53,27,14.414367811012198,0.0093260191714899,0.00299279867327,0.966352196856884,0.9385298386408264,280.4469909369675,39.84687888268218,85.79165397726159,39.84687888268218,0.0158337603831176,0.0875755579839168,0.6808644000022575,0.0,0.0,9.636816048660297e-05,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep07_seed61.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,8,62,MWproj_completed_p50_rep08_seed62.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep08_seed62.csv,0.4952380952380952,105,52,53,27,17.696714637000696,0.0092150853350562,0.0031370617438407,0.9682911279411354,0.9503116195680013,225.9461664778173,35.415295789284485,84.32578151629696,35.415295789284485,0.0150483963848013,0.0778358149215043,0.605141852878053,0.0,0.0,7.434170148976269e-05,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep08_seed62.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,9,63,MWproj_completed_p50_rep09_seed63.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep09_seed63.csv,0.4952380952380952,105,52,53,27,16.233386798994616,0.010452182965746,0.0042054989863999,0.9675447527713774,0.948774865534022,244.93422023245932,82.22017667304317,66.43173150937807,82.22017667304317,0.0277977342458797,0.1807036849956992,1.4048977693683535,0.0,0.0,0.0025789320830672,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep09_seed63.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,10,64,MWproj_completed_p50_rep10_seed64.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep10_seed64.csv,0.4952380952380952,105,52,53,27,14.240019675009536,0.0201606872052829,0.0073262223645141,0.8530417603181372,0.8249807905745752,282.7949602755306,33.14391356321693,88.27987827968207,33.14391356321693,0.0143395773889606,0.0728437660730042,0.566330700288649,0.0,0.0,0.0001293055821018,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep10_seed64.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,11,65,MWproj_completed_p50_rep11_seed65.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep11_seed65.csv,0.4952380952380952,105,52,53,27,15.044612110999878,0.0283538724929152,0.0135592903724274,0.8049662525810319,0.8710834115939554,129.36452654450602,48.0753959893661,62.83726515025241,48.0753959893661,0.0190865568405155,0.1056602109656397,0.8214652329870853,0.0,0.0,0.0028348977072559,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep11_seed65.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
