method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,n_neighbors_requested,n_neighbors_effective,knn_weights,knn_metric,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
KNN-Impute,50,4,58,KNNimpute_completed_p50_rep04_seed58.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep04_seed58.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0598830511281958,0.0519119542147271,0.8611831908189012,0.7873303167420814,0.0022594210001898,True,True,True,0,0,0.0,0.0,missing_p50_rep04_seed58.csv,KNNimpute_completed_p50_rep04_seed58.csv,
KNN-Impute,50,5,59,KNNimpute_completed_p50_rep05_seed59.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep05_seed59.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0673788602435756,0.0553663834385546,0.7413458418263223,0.7329462989840348,0.0030606239999997,True,True,True,0,0,0.0,0.0,missing_p50_rep05_seed59.csv,KNNimpute_completed_p50_rep05_seed59.csv,
KNN-Impute,50,6,60,KNNimpute_completed_p50_rep06_seed60.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep06_seed60.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0665156149228063,0.0557754696311219,0.6918869612919425,0.7563391103901649,0.0031805850001092,True,True,True,0,0,0.0,0.0,missing_p50_rep06_seed60.csv,KNNimpute_completed_p50_rep06_seed60.csv,
KNN-Impute,50,7,61,KNNimpute_completed_p50_rep07_seed61.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep07_seed61.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0622531620503769,0.0560438790282628,0.8533540660262848,0.8554597455818321,0.0025373030000537,True,True,True,0,0,0.0,0.0,missing_p50_rep07_seed61.csv,KNNimpute_completed_p50_rep07_seed61.csv,
KNN-Impute,50,8,62,KNNimpute_completed_p50_rep08_seed62.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep08_seed62.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.074504668558521,0.0560062642775919,0.6655622369952503,0.6216170067446427,0.0021121260001564,True,True,True,0,0,0.0,0.0,missing_p50_rep08_seed62.csv,KNNimpute_completed_p50_rep08_seed62.csv,
KNN-Impute,50,9,63,KNNimpute_completed_p50_rep09_seed63.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep09_seed63.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0654690359203012,0.053302540374472,0.747783759047683,0.6220438828651926,0.0023285940001187,True,True,True,0,0,0.0,0.0,missing_p50_rep09_seed63.csv,KNNimpute_completed_p50_rep09_seed63.csv,
KNN-Impute,50,10,64,KNNimpute_completed_p50_rep10_seed64.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep10_seed64.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0565461722181353,0.0477006314140649,0.8455421787399042,0.7542901050115256,0.0023115039998629,True,True,True,0,0,0.0,0.0,missing_p50_rep10_seed64.csv,KNNimpute_completed_p50_rep10_seed64.csv,
KNN-Impute,50,11,65,KNNimpute_completed_p50_rep11_seed65.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep11_seed65.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0657890749604701,0.0511734750657427,0.7437060199889092,0.6182019977802441,0.0025899760000811,True,True,True,0,0,0.0,0.0,missing_p50_rep11_seed65.csv,KNNimpute_completed_p50_rep11_seed65.csv,
KNN-Impute,50,12,66,KNNimpute_completed_p50_rep12_seed66.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep12_seed66.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0642641365712136,0.0556534745400602,0.8052042799380746,0.602236830871681,0.0021986159999869,True,True,True,0,0,0.0,0.0,missing_p50_rep12_seed66.csv,KNNimpute_completed_p50_rep12_seed66.csv,
KNN-Impute,50,13,67,KNNimpute_completed_p50_rep13_seed67.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep13_seed67.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0576938796452606,0.0490430874234052,0.8465377813824272,0.8019294800648852,0.0020930039997892,True,True,True,0,0,0.0,0.0,missing_p50_rep13_seed67.csv,KNNimpute_completed_p50_rep13_seed67.csv,
KNN-Impute,50,14,68,KNNimpute_completed_p50_rep14_seed68.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep14_seed68.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0672357177904622,0.0513390053592914,0.7832330757974013,0.7556561085972849,0.0020951449998847,True,True,True,0,0,0.0,0.0,missing_p50_rep14_seed68.csv,KNNimpute_completed_p50_rep14_seed68.csv,
KNN-Impute,50,15,69,KNNimpute_completed_p50_rep15_seed69.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep15_seed69.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0639311660561434,0.0524753520149169,0.7752989457386,0.6512422095107999,0.0020865869998942,True,True,True,0,0,0.0,0.0,missing_p50_rep15_seed69.csv,KNNimpute_completed_p50_rep15_seed69.csv,
KNN-Impute,50,16,70,KNNimpute_completed_p50_rep16_seed70.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep16_seed70.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0708808302125361,0.0550538729901337,0.6680903425822793,0.6234952616750619,0.0023812770000404,True,True,True,0,0,0.0,0.0,missing_p50_rep16_seed70.csv,KNNimpute_completed_p50_rep16_seed70.csv,
KNN-Impute,50,17,71,KNNimpute_completed_p50_rep17_seed71.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep17_seed71.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0674433408948152,0.0536696606657913,0.7500802834348961,0.5434133014599163,0.0021367180002016,True,True,True,0,0,0.0,0.0,missing_p50_rep17_seed71.csv,KNNimpute_completed_p50_rep17_seed71.csv,
KNN-Impute,50,18,72,KNNimpute_completed_p50_rep18_seed72.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep18_seed72.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0797391016825874,0.0617614581382162,0.5935043482676102,0.5031161956800136,0.002123298999777,True,True,True,0,0,0.0,0.0,missing_p50_rep18_seed72.csv,KNNimpute_completed_p50_rep18_seed72.csv,
KNN-Impute,50,19,73,KNNimpute_completed_p50_rep19_seed73.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep19_seed73.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0686884556141568,0.0567388549293344,0.7519348840985899,0.639631179031845,0.0021877399999539,True,True,True,0,0,0.0,0.0,missing_p50_rep19_seed73.csv,KNNimpute_completed_p50_rep19_seed73.csv,
KNN-Impute,50,20,74,KNNimpute_completed_p50_rep20_seed74.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep20_seed74.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0751696237036214,0.0634043975495095,0.6833879383713575,0.7251771535900281,0.0020688600000084,True,True,True,0,0,0.0,0.0,missing_p50_rep20_seed74.csv,KNNimpute_completed_p50_rep20_seed74.csv,
KNN-Impute,50,21,75,KNNimpute_completed_p50_rep21_seed75.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep21_seed75.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0709906648874305,0.0642409173222339,0.7786348837388319,0.8417143345001281,0.0021340860000691,True,True,True,0,0,0.0,0.0,missing_p50_rep21_seed75.csv,KNNimpute_completed_p50_rep21_seed75.csv,
KNN-Impute,50,22,76,KNNimpute_completed_p50_rep22_seed76.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep22_seed76.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0689051681294245,0.0573958841398842,0.6999025325142156,0.730128916588406,0.0027844179999192,True,True,True,0,0,0.0,0.0,missing_p50_rep22_seed76.csv,KNNimpute_completed_p50_rep22_seed76.csv,
KNN-Impute,50,23,77,KNNimpute_completed_p50_rep23_seed77.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep23_seed77.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.068914468611464,0.0576241379482068,0.7589118422561311,0.709297361905575,0.0021091329999762,True,True,True,0,0,0.0,0.0,missing_p50_rep23_seed77.csv,KNNimpute_completed_p50_rep23_seed77.csv,
KNN-Impute,50,24,78,KNNimpute_completed_p50_rep24_seed78.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep24_seed78.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0597226273852372,0.0499703642753988,0.8036839682248806,0.83710407239819,0.0024868740001693,True,True,True,0,0,0.0,0.0,missing_p50_rep24_seed78.csv,KNNimpute_completed_p50_rep24_seed78.csv,
KNN-Impute,50,25,79,KNNimpute_completed_p50_rep25_seed79.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep25_seed79.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0655698555471582,0.0540189663989044,0.8333336137797626,0.7955263382566379,0.0021948700000393,True,True,True,0,0,0.0,0.0,missing_p50_rep25_seed79.csv,KNNimpute_completed_p50_rep25_seed79.csv,
KNN-Impute,50,26,80,KNNimpute_completed_p50_rep26_seed80.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep26_seed80.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0670639171771334,0.0494744976535914,0.7001676422469109,0.667378126867583,0.0021144669999557,True,True,True,0,0,0.0,0.0,missing_p50_rep26_seed80.csv,KNNimpute_completed_p50_rep26_seed80.csv,
KNN-Impute,50,27,81,KNNimpute_completed_p50_rep27_seed81.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep27_seed81.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0753679639000679,0.0664872174624513,0.6459991343797291,0.6231537607786221,0.0024460820000058,True,True,True,0,0,0.0,0.0,missing_p50_rep27_seed81.csv,KNNimpute_completed_p50_rep27_seed81.csv,
KNN-Impute,50,28,82,KNNimpute_completed_p50_rep28_seed82.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep28_seed82.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0637493446584067,0.0502747857884643,0.8029048705080211,0.7867326901733116,0.0021017890001076,True,True,True,0,0,0.0,0.0,missing_p50_rep28_seed82.csv,KNNimpute_completed_p50_rep28_seed82.csv,
KNN-Impute,50,29,83,KNNimpute_completed_p50_rep29_seed83.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep29_seed83.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.0616486209111793,0.0508362634830507,0.7959642282654987,0.7705967728165285,0.0021151360001567,True,True,True,0,0,0.0,0.0,missing_p50_rep29_seed83.csv,KNNimpute_completed_p50_rep29_seed83.csv,
KNN-Impute,50,30,84,KNNimpute_completed_p50_rep30_seed84.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep30_seed84.csv,0.4952380952380952,105,52,53,0,52,5,5,distance,nan_euclidean,0.075588042730548,0.0581025331743428,0.5718918602200624,0.5933578075642448,0.0021601519999876,True,True,True,0,0,0.0,0.0,missing_p50_rep30_seed84.csv,KNNimpute_completed_p50_rep30_seed84.csv,
