method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
MW-proj,50,5,59,MWproj_completed_p50_rep05_seed59.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep05_seed59.csv,0.4952380952380952,105,52,53,27,0.0034116376830214,0.0021269631309732,0.996397854551856,0.939383590881926,19.49840354899061,True,True,True,0,0,0.014984923200933,0.595555475345017,0.0,0.0,missing_p50_rep05_seed59.csv,MWproj_completed_p50_rep05_seed59.csv,
MW-proj,50,6,60,MWproj_completed_p50_rep06_seed60.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep06_seed60.csv,0.4952380952380952,105,52,53,27,0.001567971712957,0.0011711493062298,0.999022970514124,0.9619226500469562,15.513237241000752,True,True,True,0,0,0.0189644118480118,0.8160211853923867,0.0,0.0,missing_p50_rep06_seed60.csv,MWproj_completed_p50_rep06_seed60.csv,
MW-proj,50,7,61,MWproj_completed_p50_rep07_seed61.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep07_seed61.csv,0.4952380952380952,105,52,53,27,0.0093260191714899,0.00299279867327,0.966352196856884,0.9385298386408264,14.414367811012198,True,True,True,0,0,0.0158337603831176,0.6808644000022575,0.0,0.0,missing_p50_rep07_seed61.csv,MWproj_completed_p50_rep07_seed61.csv,
MW-proj,50,8,62,MWproj_completed_p50_rep08_seed62.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep08_seed62.csv,0.4952380952380952,105,52,53,27,0.0092150853350562,0.0031370617438407,0.9682911279411354,0.9503116195680013,17.696714637000696,True,True,True,0,0,0.0150483963848013,0.605141852878053,0.0,0.0,missing_p50_rep08_seed62.csv,MWproj_completed_p50_rep08_seed62.csv,
MW-proj,50,9,63,MWproj_completed_p50_rep09_seed63.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep09_seed63.csv,0.4952380952380952,105,52,53,27,0.010452182965746,0.0042054989863999,0.9675447527713774,0.948774865534022,16.233386798994616,True,True,True,0,0,0.0277977342458797,1.4048977693683535,0.0,0.0,missing_p50_rep09_seed63.csv,MWproj_completed_p50_rep09_seed63.csv,
MW-proj,50,10,64,MWproj_completed_p50_rep10_seed64.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep10_seed64.csv,0.4952380952380952,105,52,53,27,0.0201606872052829,0.0073262223645141,0.8530417603181372,0.8249807905745752,14.240019675009536,True,True,True,0,0,0.0143395773889606,0.566330700288649,0.0,0.0,missing_p50_rep10_seed64.csv,MWproj_completed_p50_rep10_seed64.csv,
MW-proj,50,11,65,MWproj_completed_p50_rep11_seed65.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep11_seed65.csv,0.4952380952380952,105,52,53,27,0.0283538724929152,0.0135592903724274,0.8049662525810319,0.8710834115939554,15.044612110999878,True,True,True,0,0,0.0190865568405155,0.8214652329870853,0.0,0.0,missing_p50_rep11_seed65.csv,MWproj_completed_p50_rep11_seed65.csv,
MW-proj,50,12,66,MWproj_completed_p50_rep12_seed66.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep12_seed66.csv,0.4952380952380952,105,52,53,27,0.0176520567198873,0.005712765033192,0.888586398329561,0.8814138137112609,16.064763034999487,True,True,True,0,0,0.016458368703296,0.726721199432462,0.0,0.0,missing_p50_rep12_seed66.csv,MWproj_completed_p50_rep12_seed66.csv,
MW-proj,50,13,67,MWproj_completed_p50_rep13_seed67.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep13_seed67.csv,0.4952380952380952,105,52,53,27,0.0185630282540361,0.0061403940469881,0.8795162946551164,0.8293349270041833,18.040516567009035,True,True,True,0,0,0.0156660489405952,0.6249848799116401,0.0,0.0,missing_p50_rep13_seed67.csv,MWproj_completed_p50_rep13_seed67.csv,
MW-proj,50,14,68,MWproj_completed_p50_rep14_seed68.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep14_seed68.csv,0.4952380952380952,105,52,53,27,0.0294241069474506,0.0133177648202739,0.7555057710851842,0.7875864424144112,13.638475651008775,True,True,True,0,0,0.0163793021582282,0.7444788222409674,0.0,0.0,missing_p50_rep14_seed68.csv,MWproj_completed_p50_rep14_seed68.csv,
MW-proj,50,15,69,MWproj_completed_p50_rep15_seed69.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep15_seed69.csv,0.4952380952380952,105,52,53,27,0.019936223437545,0.0085453379169869,0.8684363051237868,0.8135405105438401,18.044365030000336,True,True,True,0,0,0.0180641700734812,0.7575633898946944,0.0,0.0,missing_p50_rep15_seed69.csv,MWproj_completed_p50_rep15_seed69.csv,
MW-proj,50,16,70,MWproj_completed_p50_rep16_seed70.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep16_seed70.csv,0.4952380952380952,105,52,53,27,0.0098042296959384,0.0031291590544158,0.9716557385950124,0.9681550414069836,11.597246713994537,True,True,True,0,0,0.0145931028201863,0.5726686300399508,0.0,0.0,missing_p50_rep16_seed70.csv,MWproj_completed_p50_rep16_seed70.csv,
MW-proj,50,17,71,MWproj_completed_p50_rep17_seed71.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep17_seed71.csv,0.4952380952380952,105,52,53,27,0.0205305372357717,0.0106721143243399,0.8894299718693293,0.8474344745154955,11.256573172009666,True,True,True,0,0,0.0248547199795181,1.1350181298990825,0.0,0.0,missing_p50_rep17_seed71.csv,MWproj_completed_p50_rep17_seed71.csv,
MW-proj,50,18,72,MWproj_completed_p50_rep18_seed72.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep18_seed72.csv,0.4952380952380952,105,52,53,27,0.0366053615123762,0.0186863504031501,0.6380965643905779,0.7726457781951677,12.781455457006814,True,True,True,0,0,0.0114041176757948,0.4971358842520527,0.0,0.0,missing_p50_rep18_seed72.csv,MWproj_completed_p50_rep18_seed72.csv,
MW-proj,50,19,73,MWproj_completed_p50_rep19_seed73.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep19_seed73.csv,0.4952380952380952,105,52,53,27,0.0184227192996129,0.0066704487456951,0.8815214074628742,0.81396738666439,13.364205720004977,True,True,True,0,0,0.0210412179280426,0.9227066189404584,0.0,0.0,missing_p50_rep19_seed73.csv,MWproj_completed_p50_rep19_seed73.csv,
MW-proj,50,20,74,MWproj_completed_p50_rep20_seed74.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep20_seed74.csv,0.4952380952380952,105,52,53,27,0.0093232246725176,0.0029656487925161,0.9689016063567072,0.9377614616238368,12.370781794001232,True,True,True,0,0,0.0183969212257661,0.7578849124880694,0.0,0.0,missing_p50_rep20_seed74.csv,MWproj_completed_p50_rep20_seed74.csv,
MW-proj,50,21,75,MWproj_completed_p50_rep21_seed75.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep21_seed75.csv,0.4952380952380952,105,52,53,27,0.0160133210556165,0.0061183918214831,0.9044965490930036,0.7918552036199096,11.697133838999434,True,True,True,0,0,0.0282912440747892,1.3901817221595998,0.0,0.0,missing_p50_rep21_seed75.csv,MWproj_completed_p50_rep21_seed75.csv,
MW-proj,50,22,76,MWproj_completed_p50_rep22_seed76.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep22_seed76.csv,0.4952380952380952,105,52,53,27,0.0020757419375673,0.0015423262838919,0.9986419908992932,0.967386664389994,14.664749094998117,True,True,True,0,0,0.018060826455578,0.7938528613250683,0.0,0.0,missing_p50_rep22_seed76.csv,MWproj_completed_p50_rep22_seed76.csv,
MW-proj,50,23,77,MWproj_completed_p50_rep23_seed77.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep23_seed77.csv,0.4952380952380952,105,52,53,27,0.0167870433133875,0.0049734456257484,0.905699263357437,0.9015623666012124,15.754775341003551,True,True,True,0,0,0.0178038899925993,0.7502597110779178,0.0,0.0,missing_p50_rep23_seed77.csv,MWproj_completed_p50_rep23_seed77.csv,
MW-proj,50,24,78,MWproj_completed_p50_rep24_seed78.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep24_seed78.csv,0.4952380952380952,105,52,53,27,0.019960763313605,0.0066664642144362,0.8545916633972184,0.8559719969264918,15.48417060400243,True,True,True,0,0,0.015364114199311,0.631941303774459,0.0,0.0,missing_p50_rep24_seed78.csv,MWproj_completed_p50_rep24_seed78.csv,
MW-proj,50,25,79,MWproj_completed_p50_rep25_seed79.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep25_seed79.csv,0.4952380952380952,105,52,53,27,0.0179759424674518,0.0061848832230682,0.8970912485187227,0.8789379322120722,12.725955501999124,True,True,True,0,0,0.0131377662609795,0.5093079469673009,0.0,0.0,missing_p50_rep25_seed79.csv,MWproj_completed_p50_rep25_seed79.csv,
MW-proj,50,26,80,MWproj_completed_p50_rep26_seed80.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep26_seed80.csv,0.4952380952380952,105,52,53,27,0.0299098412486648,0.0153982331792015,0.8004670309199661,0.8820968155041408,13.666872300993418,True,True,True,0,0,0.0243108963968864,1.0939433004867207,0.0,0.0,missing_p50_rep26_seed80.csv,MWproj_completed_p50_rep26_seed80.csv,
MW-proj,50,27,81,MWproj_completed_p50_rep27_seed81.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep27_seed81.csv,0.4952380952380952,105,52,53,27,0.0024568066676865,0.0017527305383816,0.9973029393827144,0.9505677452403312,13.9016687359981,True,True,True,0,0,0.0173994410791999,0.7555242386467386,0.0,0.0,missing_p50_rep27_seed81.csv,MWproj_completed_p50_rep27_seed81.csv,
MW-proj,50,28,82,MWproj_completed_p50_rep28_seed82.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep28_seed82.csv,0.4952380952380952,105,52,53,27,0.0204783202604354,0.0068666278835276,0.8513871604754044,0.8478613506360453,12.90184441501333,True,True,True,0,0,0.0186715635478867,0.811573113144325,0.0,0.0,missing_p50_rep28_seed82.csv,MWproj_completed_p50_rep28_seed82.csv,
MW-proj,50,29,83,MWproj_completed_p50_rep29_seed83.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep29_seed83.csv,0.4952380952380952,105,52,53,27,0.0102931122391802,0.0035856049596689,0.96303151925395,0.9595321437718772,12.98412178599392,True,True,True,0,0,0.0146341360173343,0.5792451054490009,0.0,0.0,missing_p50_rep29_seed83.csv,MWproj_completed_p50_rep29_seed83.csv,
MW-proj,50,30,84,MWproj_completed_p50_rep30_seed84.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep30_seed84.csv,0.4952380952380952,105,52,53,27,0.0162701026595988,0.0068610687416286,0.9157268044268848,0.830188679245283,15.521055065008111,True,True,True,0,0,0.0254627398911416,1.0761340822992898,0.0,0.0,missing_p50_rep30_seed84.csv,MWproj_completed_p50_rep30_seed84.csv,
MW-proj,65,1,55,MWproj_completed_p65_rep01_seed55.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p65_rep01_seed55.csv,0.6476190476190476,105,68,37,27,0.0174606852214199,0.0067543856711152,0.8997201124934256,0.8083368324617322,14.4125362449995,True,True,True,0,0,0.0232932211889144,1.0279695007590384,0.0,0.0,missing_p65_rep01_seed55.csv,MWproj_completed_p65_rep01_seed55.csv,
MW-proj,65,2,56,MWproj_completed_p65_rep02_seed56.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p65_rep02_seed56.csv,0.6476190476190476,105,68,37,27,0.0310841254244455,0.017181044698074,0.7115199009383295,0.6629385044089017,17.35766630200669,True,True,True,0,0,0.0345054571858936,2.882309160941776,0.0,0.0,missing_p65_rep02_seed56.csv,MWproj_completed_p65_rep02_seed56.csv,
