method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,objective_improved,error_message,masked_file,completed_file,run_log_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,Delta_init,Delta_final,Delta_reduction_percent,best_epoch,epochs_used,convergence_epoch,final_learning_rate,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,best_start_pair,n_weighted_lsq_fits,n_graft_evaluations,nnls_backend
MW-proj,50,0.5,0.49523809523809526,1,55,105,52,53,27,True,True,True,True,,missing_p50_rep01_seed55.csv,MWproj_completed_p50_rep01_seed55.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep01_seed55.log,11.849043661000906,39.78748070280342,0.016920010477110073,0.08744501253363389,0.6798494621391579,58.523957020737264,0.022445654481427994,0.018525886505606052,0.00585878122552427,0.8821308046106373,0.827712797746094,0.0,0.0,328.33199877054994,39.78748070280342,87.88193631696303,0,0,0,,ultrametric,2,52,0,0.00013295123389484384,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,2,56,105,52,53,27,True,True,True,True,,missing_p50_rep02_seed56.csv,MWproj_completed_p50_rep02_seed56.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep02_seed56.log,13.123496934000286,38.885550766411214,0.016296229491401814,0.0854627489371675,0.6644381676487218,58.523957020737264,0.022445654481427994,0.018605456835214678,0.006074270740124163,0.8859019231731173,0.7614616238367625,0.0,0.0,193.92466176682052,38.885550766411214,79.94811468942095,0,0,0,,ultrametric,2,52,0,9.817052409712703e-05,105,27,105,"(1, 10)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,3,57,105,52,53,27,True,True,True,True,,missing_p50_rep03_seed57.csv,MWproj_completed_p50_rep03_seed57.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep03_seed57.log,12.40010360800079,27.043708132228865,0.012032700832236749,0.05943672116973377,0.4620963705965106,58.523957020737264,0.022445654481427994,0.006301265516325388,0.0034931069900597522,0.9957411911633198,0.9569708870485785,0.0,0.0,165.30158187214397,27.043708132228865,83.63977656720407,0,0,0,,ultrametric,2,52,0,0.00013810856111988126,105,27,105,"(0, 4)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,4,58,105,52,53,27,True,True,True,True,,missing_p50_rep04_seed58.csv,MWproj_completed_p50_rep04_seed58.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep04_seed58.log,14.0395663149975,31.363494899149387,0.0136895552993382,0.06893075802010855,0.5359086517002961,58.523957020737264,0.022445654481427994,0.018431695233577444,0.005922761115627035,0.8736044057444546,0.8522154870656535,0.0,0.0,265.542934185737,31.363494899149387,88.18891754912528,0,0,0,,ultrametric,2,52,0,0.00011743516025575364,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,5,59,105,52,53,27,True,True,True,True,,missing_p50_rep05_seed59.csv,MWproj_completed_p50_rep05_seed59.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep05_seed59.log,19.49840354899061,34.854263042556525,0.014984923200933092,0.07660277591770664,0.595555475345017,58.523957020737264,0.022445654481427994,0.003411637683021479,0.0021269631309732574,0.996397854551856,0.939383590881926,0.0,0.0,414.5207645683766,34.854263042556525,91.59167259597989,0,0,0,,ultrametric,2,52,0,0.00010554639756023657,105,27,105,"(0, 3)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,6,60,105,52,53,27,True,True,True,True,,missing_p50_rep06_seed60.csv,MWproj_completed_p50_rep06_seed60.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep06_seed60.log,15.513237241000752,47.75678878191511,0.018964411848011842,0.10495997534486838,0.8160211853923867,58.523957020737264,0.022445654481427994,0.001567971712957073,0.0011711493062298713,0.9990229705141239,0.9619226500469562,0.0,0.0,445.0037374223942,47.75678878191511,89.268227485338,0,0,0,,ultrametric,2,52,0,0.00012071523009590647,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,7,61,105,52,53,27,True,True,True,True,,missing_p50_rep07_seed61.csv,MWproj_completed_p50_rep07_seed61.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep07_seed61.log,14.414367811012198,39.84687888268218,0.015833760383117616,0.08757555798391688,0.6808644000022575,58.523957020737264,0.022445654481427994,0.009326019171489978,0.0029927986732700483,0.9663521968568841,0.9385298386408263,0.0,0.0,280.4469909369675,39.84687888268218,85.79165397726159,0,0,0,,ultrametric,2,52,0,9.636816048660295e-05,105,27,105,"(0, 2)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,8,62,105,52,53,27,True,True,True,True,,missing_p50_rep08_seed62.csv,MWproj_completed_p50_rep08_seed62.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep08_seed62.log,17.696714637000696,35.415295789284485,0.015048396384801347,0.07783581492150436,0.605141852878053,58.523957020737264,0.022445654481427994,0.00921508533505626,0.0031370617438407425,0.9682911279411354,0.9503116195680013,0.0,0.0,225.94616647781726,35.415295789284485,84.32578151629696,0,0,0,,ultrametric,2,52,0,7.434170148976269e-05,105,27,105,"(0, 6)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,9,63,105,52,53,27,True,True,True,True,,missing_p50_rep09_seed63.csv,MWproj_completed_p50_rep09_seed63.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep09_seed63.log,16.233386798994616,82.22017667304317,0.02779773424587973,0.18070368499569928,1.4048977693683535,58.523957020737264,0.022445654481427994,0.01045218296574609,0.004205498986399931,0.9675447527713774,0.948774865534022,0.0,0.0,244.93422023245935,82.22017667304317,66.43173150937807,0,0,0,,ultrametric,2,52,0,0.002578932083067237,105,27,105,"(3, 12)",20580,17745,scipy.optimize.nnls
MW-proj,50,0.5,0.49523809523809526,10,64,105,52,53,27,True,True,True,True,,missing_p50_rep10_seed64.csv,MWproj_completed_p50_rep10_seed64.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep10_seed64.log,14.240019675009535,33.14391356321693,0.014339577388960677,0.07284376607300423,0.566330700288649,58.523957020737264,0.022445654481427994,0.020160687205282905,0.007326222364514117,0.8530417603181372,0.8249807905745752,0.0,0.0,282.7949602755306,33.14391356321693,88.27987827968207,0,0,0,,ultrametric,2,52,0,0.0001293055821018089,105,27,105,"(0, 3)",20580,17745,scipy.optimize.nnls
