method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,masked_file
Hyb-Adam-UM,50,28,82,HybAdamUM_completed_p50_rep28_seed82.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep28_seed82.csv,0.4952380952380952,105,52,53,52,missing_p50_rep28_seed82.csv
Hyb-Adam-UM,50,29,83,HybAdamUM_completed_p50_rep29_seed83.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep29_seed83.csv,0.4952380952380952,105,52,53,52,missing_p50_rep29_seed83.csv
Hyb-Adam-UM,50,30,84,HybAdamUM_completed_p50_rep30_seed84.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p50_rep30_seed84.csv,0.4952380952380952,105,52,53,52,missing_p50_rep30_seed84.csv
Hyb-Adam-UM,65,1,55,HybAdamUM_completed_p65_rep01_seed55.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p65_rep01_seed55.csv,0.6476190476190476,105,68,37,68,missing_p65_rep01_seed55.csv
Hyb-Adam-UM,65,2,56,HybAdamUM_completed_p65_rep02_seed56.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p65_rep02_seed56.csv,0.6476190476190476,105,68,37,68,missing_p65_rep02_seed56.csv
Hyb-Adam-UM,65,3,57,HybAdamUM_completed_p65_rep03_seed57.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p65_rep03_seed57.csv,0.6476190476190476,105,68,37,68,missing_p65_rep03_seed57.csv
Hyb-Adam-UM,65,4,58,HybAdamUM_completed_p65_rep04_seed58.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p65_rep04_seed58.csv,0.6476190476190476,105,68,37,68,missing_p65_rep04_seed58.csv
Hyb-Adam-UM,65,5,59,HybAdamUM_completed_p65_rep05_seed59.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p65_rep05_seed59.csv,0.6476190476190476,105,68,37,68,missing_p65_rep05_seed59.csv
Hyb-Adam-UM,65,6,60,HybAdamUM_completed_p65_rep06_seed60.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p65_rep06_seed60.csv,0.6476190476190476,105,68,37,68,missing_p65_rep06_seed60.csv
Hyb-Adam-UM,65,7,61,HybAdamUM_completed_p65_rep07_seed61.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p65_rep07_seed61.csv,0.6476190476190476,105,68,37,68,missing_p65_rep07_seed61.csv
Hyb-Adam-UM,65,8,62,HybAdamUM_completed_p65_rep08_seed62.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p65_rep08_seed62.csv,0.6476190476190476,105,68,37,68,missing_p65_rep08_seed62.csv
Hyb-Adam-UM,65,9,63,HybAdamUM_completed_p65_rep09_seed63.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p65_rep09_seed63.csv,0.6476190476190476,105,68,37,68,missing_p65_rep09_seed63.csv
Hyb-Adam-UM,65,10,64,HybAdamUM_completed_p65_rep10_seed64.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p65_rep10_seed64.csv,0.6476190476190476,105,68,37,68,missing_p65_rep10_seed64.csv
Hyb-Adam-UM,65,11,65,HybAdamUM_completed_p65_rep11_seed65.csv,hyb_adam_um_outputs/completed_matrices/HybAdamUM_completed_p65_rep11_seed65.csv,0.6476190476190476,105,68,37,68,missing_p65_rep11_seed65.csv
