method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,masked_file,__metadata_scope,__metadata_source
KNN-Impute,50,9,63,KNNimpute_completed_p50_rep09_seed63.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep09_seed63.csv,0.4952380952380952,105,52,53,0,0.0044560469978023,0.0327728057002244,0.0271814559494363,0.8344401380737482,0.6797575343635277,0.0,0.0,missing_p50_rep09_seed63.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,10,64,KNNimpute_completed_p50_rep10_seed64.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep10_seed64.csv,0.4952380952380952,105,52,53,0,0.0036599000013666,0.0342540298367476,0.0276093652564549,0.8598162815877385,0.815931016818919,0.0,0.0,missing_p50_rep10_seed64.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,11,65,KNNimpute_completed_p50_rep11_seed65.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep11_seed65.csv,0.4952380952380952,105,52,53,0,0.0022509999980684,0.0331314577825097,0.0266091460540608,0.8584064212286011,0.811747630837531,0.0,0.0,missing_p50_rep11_seed65.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,12,66,KNNimpute_completed_p50_rep12_seed66.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep12_seed66.csv,0.4952380952380952,105,52,53,0,0.0022733990044798,0.0332366287193302,0.023442634184427,0.8150462813294531,0.7740117817809271,0.0,0.0,missing_p50_rep12_seed66.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,13,67,KNNimpute_completed_p50_rep13_seed67.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep13_seed67.csv,0.4952380952380952,105,52,53,0,0.0020706619980046,0.0333908878645234,0.0253361219138282,0.8460692954651584,0.7605224963715529,0.0,0.0,missing_p50_rep13_seed67.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,14,68,KNNimpute_completed_p50_rep14_seed68.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep14_seed68.csv,0.4952380952380952,105,52,53,0,0.0038077719946159,0.0299893361614373,0.0220416006844081,0.8927799421338625,0.8192606505592077,0.0,0.0,missing_p50_rep14_seed68.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,15,69,KNNimpute_completed_p50_rep15_seed69.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep15_seed69.csv,0.4952380952380952,105,52,53,0,0.0029029569996055,0.0319618199239746,0.0251931877567996,0.7779843492687196,0.7145052505762827,0.0,0.0,missing_p50_rep15_seed69.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,16,70,KNNimpute_completed_p50_rep16_seed70.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep16_seed70.csv,0.4952380952380952,105,52,53,0,0.0023729560052743,0.037359267553534,0.0297089225687692,0.7942868638896067,0.7524118500811064,0.0,0.0,missing_p50_rep16_seed70.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,17,71,KNNimpute_completed_p50_rep17_seed71.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep17_seed71.csv,0.4952380952380952,105,52,53,0,0.0025223439879482,0.034821196610495,0.0246854301379373,0.7768735696672407,0.7471185861862887,0.0,0.0,missing_p50_rep17_seed71.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,18,72,KNNimpute_completed_p50_rep18_seed72.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep18_seed72.csv,0.4952380952380952,105,52,53,0,0.0022644119890173,0.0307411989133248,0.0247351669820514,0.9013423833676032,0.8563134978229316,0.0,0.0,missing_p50_rep18_seed72.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,19,73,KNNimpute_completed_p50_rep19_seed73.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep19_seed73.csv,0.4952380952380952,105,52,53,0,0.0025184669939335,0.0384301844288059,0.0293513486680517,0.8187445821583839,0.8365064458294202,0.0,0.0,missing_p50_rep19_seed73.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,20,74,KNNimpute_completed_p50_rep20_seed74.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep20_seed74.csv,0.4952380952380952,105,52,53,0,0.0022260480036493,0.0405529326697016,0.0325107969659241,0.7677198472364178,0.5321437718774013,0.0,0.0,missing_p50_rep20_seed74.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,21,75,KNNimpute_completed_p50_rep21_seed75.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep21_seed75.csv,0.4952380952380952,105,52,53,0,0.0022155230108182,0.0386584431677792,0.0319268492268561,0.7563068528551344,0.5217279945359856,0.0,0.0,missing_p50_rep21_seed75.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,22,76,KNNimpute_completed_p50_rep22_seed76.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep22_seed76.csv,0.4952380952380952,105,52,53,0,0.0038694649992976,0.0373764670578826,0.0325502024781834,0.8194472629237424,0.8176385213011184,0.0,0.0,missing_p50_rep22_seed76.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,23,77,KNNimpute_completed_p50_rep23_seed77.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep23_seed77.csv,0.4952380952380952,105,52,53,0,0.0022134949977044,0.0326135916859388,0.025595996256999,0.8385724141348627,0.755826859045505,0.0,0.0,missing_p50_rep23_seed77.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,24,78,KNNimpute_completed_p50_rep24_seed78.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep24_seed78.csv,0.4952380952380952,105,52,53,0,0.002385210013017,0.0274541567509352,0.0203040159071618,0.9019922851644164,0.9088192606505592,0.0,0.0,missing_p50_rep24_seed78.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,25,79,KNNimpute_completed_p50_rep25_seed79.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep25_seed79.csv,0.4952380952380952,105,52,53,0,0.0028072529967175,0.0377493054270813,0.0285592806414391,0.7473864146857161,0.7830615555365833,0.0,0.0,missing_p50_rep25_seed79.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,26,80,KNNimpute_completed_p50_rep26_seed80.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep26_seed80.csv,0.4952380952380952,105,52,53,0,0.0025653699995018,0.0338170356721275,0.0264747116595034,0.807041876330868,0.737215060189533,0.0,0.0,missing_p50_rep26_seed80.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,27,81,KNNimpute_completed_p50_rep27_seed81.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep27_seed81.csv,0.4952380952380952,105,52,53,0,0.0045920150005258,0.0428766794426636,0.0365973965487961,0.757771943620044,0.5467429352002049,0.0,0.0,missing_p50_rep27_seed81.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,28,82,KNNimpute_completed_p50_rep28_seed82.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep28_seed82.csv,0.4952380952380952,105,52,53,0,0.0042535870015854,0.0333213883490111,0.0243341256141076,0.8101464841134121,0.7787927943310852,0.0,0.0,missing_p50_rep28_seed82.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,29,83,KNNimpute_completed_p50_rep29_seed83.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep29_seed83.csv,0.4952380952380952,105,52,53,0,0.0027165879873791,0.035350001019244,0.0287729931310154,0.8393898073661261,0.7004183385981388,0.0,0.0,missing_p50_rep29_seed83.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,50,30,84,KNNimpute_completed_p50_rep30_seed84.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p50_rep30_seed84.csv,0.4952380952380952,105,52,53,0,0.0023419739882228,0.0351374536020118,0.0283575640236918,0.8549753751533765,0.7083582344403654,0.0,0.0,missing_p50_rep30_seed84.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,65,1,55,KNNimpute_completed_p65_rep01_seed55.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p65_rep01_seed55.csv,0.6476190476190476,105,68,37,0,0.0022447090013884,0.0440440626813517,0.0376819403307116,0.6457096536252152,0.4737565370080543,0.0,0.0,missing_p65_rep01_seed55.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,65,2,56,KNNimpute_completed_p65_rep02_seed56.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p65_rep02_seed56.csv,0.6476190476190476,105,68,37,0,0.0026225550100207,0.0455552318389992,0.0366704529603788,0.61873724845084,0.6596938580753521,0.0,0.0,missing_p65_rep02_seed56.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,65,3,57,KNNimpute_completed_p65_rep03_seed57.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p65_rep03_seed57.csv,0.6476190476190476,105,68,37,0,0.0024568989902036,0.0471947803618955,0.0342278415157593,0.6271844064918526,0.5202122380425239,0.0,0.0,missing_p65_rep03_seed57.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,65,4,58,KNNimpute_completed_p65_rep04_seed58.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p65_rep04_seed58.csv,0.6476190476190476,105,68,37,0,0.0023350859992206,0.0442865111205588,0.0337909162891971,0.6577496533862316,0.7029430850860786,0.0,0.0,missing_p65_rep04_seed58.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
KNN-Impute,65,5,59,KNNimpute_completed_p65_rep05_seed59.csv,knn_impute_outputs/completed_matrices/KNNimpute_completed_p65_rep05_seed59.csv,0.6476190476190476,105,68,37,0,0.0025488770043011,0.0463808977101904,0.0388896617031632,0.7112052511874823,0.607550482879719,0.0,0.0,missing_p65_rep05_seed59.csv,method_specific,knn_impute_outputs/tables/knn_impute_all_masks_detailed.csv
