method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_init,Delta_final,Delta_reduction_percent,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,n_weighted_lsq_fits,n_graft_evaluations,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,masked_file,__metadata_scope,__metadata_source
MW-proj,50,1,55,MWproj_completed_p50_rep01_seed55.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep01_seed55.csv,0.4952380952380952,105,52,53,27,11.555720327000016,0.0388622213777092,0.021538093968397,0.8547922856802164,0.8866217023819688,87.2662918380153,29.42110717684869,66.28582863190694,29.42110717684869,0.0132582893625525,0.064661774015052,0.6293903077408419,0.0,0.0,0.0028676979388304,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep01_seed55.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,2,56,MWproj_completed_p50_rep02_seed56.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep02_seed56.csv,0.4952380952380952,105,52,53,27,13.40996779000011,0.0269942478730001,0.015225967425725,0.9524131179949156,0.9710577990267224,113.52431182943448,36.23400240585743,68.08260554770197,36.23400240585743,0.0161829801676094,0.0796351701227635,0.7751350004547215,0.0,0.0,0.0021933175340533,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep02_seed56.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,3,57,MWproj_completed_p50_rep03_seed57.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep03_seed57.csv,0.4952380952380952,105,52,53,27,11.966194761999986,0.021556335504969,0.0117153775690715,0.9221165478872064,0.9087338854264492,122.46613715751424,27.21079174697563,77.78096674023655,27.21079174697563,0.012149666636262,0.0598039379054409,0.5821061895650711,0.0,0.0,0.0007913255588291,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep03_seed57.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,4,58,MWproj_completed_p50_rep04_seed58.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep04_seed58.csv,0.4952380952380952,105,52,53,27,13.70459659800008,0.0179145026956077,0.0097526116693496,0.9552640157801272,0.9364808332621872,105.41593421448432,32.15232667635941,69.49955723871805,32.15232667635941,0.0144148027690451,0.0706644542337569,0.6878178533451595,0.0,0.0,0.0025399153413319,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep04_seed58.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,5,59,MWproj_completed_p50_rep05_seed59.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep05_seed59.csv,0.4952380952380952,105,52,53,27,18.712492667999868,0.0170707997144279,0.0085625011100844,0.9488101357772504,0.9316144454879194,178.77214482810564,40.3216986973024,77.44520057301276,40.3216986973024,0.0173642688625972,0.0886191180160492,0.862580942286854,0.0,0.0,0.0012004598953361,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep05_seed59.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,6,60,MWproj_completed_p50_rep06_seed60.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep06_seed60.csv,0.4952380952380952,105,52,53,27,15.298492400999976,0.0076348200600288,0.0049316820731181,0.9887002287790204,0.9518483736019806,150.33136768239433,36.127977957136,75.96777138789575,36.127977957136,0.0158256268701182,0.0794021493563428,0.772866875057274,0.0,0.0,0.001499822851139,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep06_seed60.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,7,61,MWproj_completed_p50_rep07_seed61.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep07_seed61.csv,0.4952380952380952,105,52,53,27,12.079278579999936,0.0332630003187146,0.0157318714600937,0.8696581120822205,0.9383590881926064,85.6717299534607,29.61390638992697,65.4332807263095,29.61390638992697,0.0134133572525148,0.06508550854929,0.6335147601389837,0.0,0.0,0.0012589027911259,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep07_seed61.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,8,62,MWproj_completed_p50_rep08_seed62.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep08_seed62.csv,0.4952380952380952,105,52,53,27,16.949594826000066,0.010441365164473,0.0062365744952751,0.977864986342044,0.9504823700162212,153.08884170448022,35.3766993412838,76.89139264011527,35.3766993412838,0.0156782059246468,0.0777509875632611,0.7567951658456503,0.0,0.0,0.0011003272356249,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep08_seed62.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,9,63,MWproj_completed_p50_rep09_seed63.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep09_seed63.csv,0.4952380952380952,105,52,53,27,15.68528746600009,0.0180795125012133,0.010242926618201,0.9572027171014188,0.9225646717322632,134.6843392424319,33.23263995762693,75.32553514049755,33.23263995762693,0.0148870954563003,0.0730387691376416,0.7109284285001464,0.0,0.0,0.0018833742083266,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep09_seed63.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,50,10,64,MWproj_completed_p50_rep10_seed64.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p50_rep10_seed64.csv,0.4952380952380952,105,52,53,27,14.206468235000102,0.033809931109571,0.0165501681326676,0.8703765131329139,0.9539827542047298,107.0614906983314,26.091895004745624,75.62905687698193,26.091895004745624,0.0118375603656752,0.0573448241862541,0.5581702186755555,0.0,0.0,0.001235983368596,105,27,105,20580,17745,ultrametric,2,52,0,missing_p50_rep10_seed64.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
