method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
MDS-SMACOF,50,23,77,MDS_SMACOF_completed_p50_rep23_seed77.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep23_seed77.csv,0.4952380952380952,105,52,53,210,52,0.0408651725648053,0.0355314131766335,0.8352138847536067,0.590455049944506,0.024772385999995,True,True,True,518,518,0.0,0.0,missing_p50_rep23_seed77.csv,MDS_SMACOF_completed_p50_rep23_seed77.csv,
MDS-SMACOF,50,24,78,MDS_SMACOF_completed_p50_rep24_seed78.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep24_seed78.csv,0.4952380952380952,105,52,53,210,52,0.0443124926393904,0.0322792137862522,0.7717865714230966,0.8677537778536668,0.0165883330000724,True,True,True,347,347,0.0,0.0,missing_p50_rep24_seed78.csv,MDS_SMACOF_completed_p50_rep24_seed78.csv,
MDS-SMACOF,50,25,79,MDS_SMACOF_completed_p50_rep25_seed79.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep25_seed79.csv,0.4952380952380952,105,52,53,210,52,0.0425932676658316,0.0336937955263629,0.6854771796090315,0.7028088448732177,0.0169772700000976,True,True,True,379,379,0.0,0.0,missing_p50_rep25_seed79.csv,MDS_SMACOF_completed_p50_rep25_seed79.csv,
MDS-SMACOF,50,26,80,MDS_SMACOF_completed_p50_rep26_seed80.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep26_seed80.csv,0.4952380952380952,105,52,53,210,52,0.0391358374071008,0.0304787726867031,0.8711343264868635,0.7924528301886792,0.0149966029998722,True,True,True,343,343,0.0,0.0,missing_p50_rep26_seed80.csv,MDS_SMACOF_completed_p50_rep26_seed80.csv,
MDS-SMACOF,50,27,81,MDS_SMACOF_completed_p50_rep27_seed81.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep27_seed81.csv,0.4952380952380952,105,52,53,210,52,0.0335710134184026,0.0278926912115173,0.837337543219761,0.771792025954068,0.0144875329999649,True,True,True,317,317,0.0,0.0,missing_p50_rep27_seed81.csv,MDS_SMACOF_completed_p50_rep27_seed81.csv,
MDS-SMACOF,50,28,82,MDS_SMACOF_completed_p50_rep28_seed82.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep28_seed82.csv,0.4952380952380952,105,52,53,210,52,0.0461871371873251,0.0335274771897473,0.7009805525499752,0.7874156919661914,0.0173209720001068,True,True,True,375,375,0.0,0.0,missing_p50_rep28_seed82.csv,MDS_SMACOF_completed_p50_rep28_seed82.csv,
MDS-SMACOF,50,29,83,MDS_SMACOF_completed_p50_rep29_seed83.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep29_seed83.csv,0.4952380952380952,105,52,53,210,52,0.0397481201609564,0.0359018319821065,0.7142614816121968,0.5608298471783488,0.0301695890000246,True,True,True,573,573,0.0,0.0,missing_p50_rep29_seed83.csv,MDS_SMACOF_completed_p50_rep29_seed83.csv,
MDS-SMACOF,50,30,84,MDS_SMACOF_completed_p50_rep30_seed84.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p50_rep30_seed84.csv,0.4952380952380952,105,52,53,210,52,0.0437738379550833,0.0349955656324332,0.621984400914308,0.5522923247673525,0.016507606999994,True,True,True,290,290,0.0,0.0,missing_p50_rep30_seed84.csv,MDS_SMACOF_completed_p50_rep30_seed84.csv,
MDS-SMACOF,65,1,55,MDS_SMACOF_completed_p65_rep01_seed55.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p65_rep01_seed55.csv,0.6476190476190476,105,68,37,210,68,0.0558968363774056,0.0439528844072908,0.4783380041305856,0.6288124594419208,0.0084472440000809,True,True,True,188,188,0.0,0.0,missing_p65_rep01_seed55.csv,MDS_SMACOF_completed_p65_rep01_seed55.csv,
MDS-SMACOF,65,2,56,MDS_SMACOF_completed_p65_rep02_seed56.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p65_rep02_seed56.csv,0.6476190476190476,105,68,37,210,68,0.0580389698601069,0.0481410961811055,0.4314709714238118,0.5026911478413558,0.0103125890000228,True,True,True,237,237,0.0,0.0,missing_p65_rep02_seed56.csv,MDS_SMACOF_completed_p65_rep02_seed56.csv,
