method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,n_neighbors_requested,n_neighbors_effective,knn_weights,knn_metric,epochs_used,convergence_epoch,optimizer_config_json,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,n_success,n_failed
KNN-impute,50,0.5,0.49523809523809526,7,61,105,52,53,0,52,True,True,True,,missing_p50_rep07_seed61.csv,KNNimpute_completed_p50_rep07_seed61.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0021696179901482537,0.037741794333413306,0.029271060474992668,0.7312784131721813,0.5841372833603687,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,8,62,105,52,53,0,52,True,True,True,,missing_p50_rep08_seed62.csv,KNNimpute_completed_p50_rep08_seed62.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0021775569912279025,0.035877146970299284,0.030176254479246514,0.7889695813227887,0.839494578673269,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,9,63,105,52,53,0,52,True,True,True,,missing_p50_rep09_seed63.csv,KNNimpute_completed_p50_rep09_seed63.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.004456046997802332,0.03277280570022449,0.027181455949436308,0.8344401380737482,0.6797575343635277,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,10,64,105,52,53,0,52,True,True,True,,missing_p50_rep10_seed64.csv,KNNimpute_completed_p50_rep10_seed64.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0036599000013666227,0.03425402983674765,0.02760936525645499,0.8598162815877385,0.815931016818919,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,11,65,105,52,53,0,52,True,True,True,,missing_p50_rep11_seed65.csv,KNNimpute_completed_p50_rep11_seed65.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002250999998068437,0.03313145778250973,0.026609146054060846,0.8584064212286011,0.811747630837531,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,12,66,105,52,53,0,52,True,True,True,,missing_p50_rep12_seed66.csv,KNNimpute_completed_p50_rep12_seed66.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.00227339900447987,0.03323662871933024,0.02344263418442705,0.8150462813294531,0.7740117817809271,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,13,67,105,52,53,0,52,True,True,True,,missing_p50_rep13_seed67.csv,KNNimpute_completed_p50_rep13_seed67.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0020706619980046526,0.033390887864523426,0.025336121913828256,0.8460692954651584,0.7605224963715529,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,14,68,105,52,53,0,52,True,True,True,,missing_p50_rep14_seed68.csv,KNNimpute_completed_p50_rep14_seed68.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.003807771994615905,0.029989336161437386,0.02204160068440814,0.8927799421338625,0.8192606505592077,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,15,69,105,52,53,0,52,True,True,True,,missing_p50_rep15_seed69.csv,KNNimpute_completed_p50_rep15_seed69.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0029029569996055216,0.03196181992397467,0.025193187756799636,0.7779843492687196,0.7145052505762827,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,16,70,105,52,53,0,52,True,True,True,,missing_p50_rep16_seed70.csv,KNNimpute_completed_p50_rep16_seed70.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002372956005274318,0.03735926755353401,0.029708922568769242,0.7942868638896067,0.7524118500811064,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,17,71,105,52,53,0,52,True,True,True,,missing_p50_rep17_seed71.csv,KNNimpute_completed_p50_rep17_seed71.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.002522343987948261,0.03482119661049503,0.02468543013793737,0.7768735696672407,0.7471185861862887,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,18,72,105,52,53,0,52,True,True,True,,missing_p50_rep18_seed72.csv,KNNimpute_completed_p50_rep18_seed72.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0022644119890173897,0.030741198913324864,0.024735166982051495,0.9013423833676031,0.8563134978229316,0.0,0.0,30,0
KNN-impute,50,0.5,0.49523809523809526,19,73,105,52,53,0,52,True,True,True,,missing_p50_rep19_seed73.csv,KNNimpute_completed_p50_rep19_seed73.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0025184669939335436,0.038430184428805976,0.029351348668051794,0.8187445821583839,0.8365064458294202,0.0,0.0,30,0
