method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,s_top,status,reason,joins_performed,tree_edges_final,initial_known_graph_components,n_pair_selection_failures,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
NJstar-STRICT,50,4,58,NJstar_STRICT_completed_p50_rep04_seed58.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep04_seed58.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0246301607308074,0.0094119344312467,0.7803803184889297,0.6850507982583455,0.0076682910003,True,True,True,13,13,0.0298319729888957,1.285679842113536,0.0,0.0,missing_p50_rep04_seed58.csv,NJstar_STRICT_completed_p50_rep04_seed58.csv,
NJstar-STRICT,50,5,59,NJstar_STRICT_completed_p50_rep05_seed59.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep05_seed59.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0522898450141436,0.0401722454879749,0.6289478489540388,0.6165798685221547,0.0074334060045657,True,True,True,13,13,0.1528388377523781,53680454297.48738,0.0,0.0,missing_p50_rep05_seed59.csv,NJstar_STRICT_completed_p50_rep05_seed59.csv,
NJstar-STRICT,50,6,60,NJstar_STRICT_completed_p50_rep06_seed60.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep06_seed60.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0242504146631543,0.018841596148967,0.7974827906855124,0.7367028088448732,0.00763288300368,True,True,True,13,13,0.1035537618946564,9.080435098124894,0.0,0.0,missing_p50_rep06_seed60.csv,NJstar_STRICT_completed_p50_rep06_seed60.csv,
NJstar-STRICT,50,7,61,NJstar_STRICT_completed_p50_rep07_seed61.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep07_seed61.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0102117288919935,0.0039347315119221,0.9608629998535326,0.9310168189191496,0.0068910139962099,True,True,True,13,13,0.0227999974503372,1.0084055008293606,0.0,0.0,missing_p50_rep07_seed61.csv,NJstar_STRICT_completed_p50_rep07_seed61.csv,
NJstar-STRICT,50,8,62,NJstar_STRICT_completed_p50_rep08_seed62.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep08_seed62.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0093995321523541,0.0030730799009407,0.9670463488206488,0.95304362673952,0.0090610490005929,True,True,True,13,13,0.0200143472010621,0.8350899259515872,0.0,0.0,missing_p50_rep08_seed62.csv,NJstar_STRICT_completed_p50_rep08_seed62.csv,
NJstar-STRICT,50,9,63,NJstar_STRICT_completed_p50_rep09_seed63.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep09_seed63.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0111583024993173,0.00534208965624,0.9605410121566248,0.9445061043285236,0.0092300379910739,True,True,True,13,13,0.0452131751239977,2.4941871209461133,0.0,0.0,missing_p50_rep09_seed63.csv,NJstar_STRICT_completed_p50_rep09_seed63.csv,
NJstar-STRICT,50,10,64,NJstar_STRICT_completed_p50_rep10_seed64.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep10_seed64.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0282218470158108,0.0115315719219939,0.7254784656483054,0.6631947408861948,0.0077024250058457,True,True,True,13,13,0.0339342296496137,1.4477140478114243,0.0,0.0,missing_p50_rep10_seed64.csv,NJstar_STRICT_completed_p50_rep10_seed64.csv,
NJstar-STRICT,50,15,69,NJstar_STRICT_completed_p50_rep15_seed69.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep15_seed69.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.020831487752899,0.0084043331431802,0.8492958403397011,0.7914283274993597,0.0073175459983758,True,True,True,13,13,0.0292601879245394,1.292126990649633,0.0,0.0,missing_p50_rep15_seed69.csv,NJstar_STRICT_completed_p50_rep15_seed69.csv,
NJstar-STRICT,50,17,71,NJstar_STRICT_completed_p50_rep17_seed71.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep17_seed71.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0368861665182498,0.0228602918860668,0.7396221187279285,0.7038333475625373,0.0071082320064306,True,True,True,13,13,0.1027214079796044,8.569456869875228,0.0,0.0,missing_p50_rep17_seed71.csv,NJstar_STRICT_completed_p50_rep17_seed71.csv,
NJstar-STRICT,50,19,73,NJstar_STRICT_completed_p50_rep19_seed73.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p50_rep19_seed73.csv,0.4952380952380952,105,52,53,0,52,15,OK,OK,13,27,1,0,0.0242897341124484,0.008456153366981,0.8059183659094785,0.7053701015965167,0.0074809210054809,True,True,True,13,13,0.0252700829321881,1.1521654992761132,0.0,0.0,missing_p50_rep19_seed73.csv,NJstar_STRICT_completed_p50_rep19_seed73.csv,
