method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,iters_used,epochs_used,convergence_epoch,final_rank,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
LRMC-SoftImpute,50,3,57,LRMC_SoftImpute_completed_p50_rep03_seed57.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep03_seed57.csv,0.4952380952380952,105,52,53,52,0.0636865393861625,0.0532343893629088,0.5044848885772552,0.3605395714163749,0.0163638219964923,True,True,True,444,444,444,7,0.198289175618541,22.43243076526659,0.0,0.0,missing_p50_rep03_seed57.csv,LRMC_SoftImpute_completed_p50_rep03_seed57.csv,
LRMC-SoftImpute,50,4,58,LRMC_SoftImpute_completed_p50_rep04_seed58.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep04_seed58.csv,0.4952380952380952,105,52,53,52,0.0569605755123721,0.0498499518301116,0.3327992658343494,0.2732007171518825,0.074316311001894,True,True,True,1894,1894,1894,8,0.1779438374290644,20.02378829827132,0.0,0.0,missing_p50_rep04_seed58.csv,LRMC_SoftImpute_completed_p50_rep04_seed58.csv,
LRMC-SoftImpute,50,5,59,LRMC_SoftImpute_completed_p50_rep05_seed59.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep05_seed59.csv,0.4952380952380952,105,52,53,52,0.0687207498737381,0.0553289577183481,0.3582891496390119,0.2451976436438145,0.0149987159966258,True,True,True,380,380,380,7,0.2171487482604347,31.943368885001306,0.0,0.0,missing_p50_rep05_seed59.csv,LRMC_SoftImpute_completed_p50_rep05_seed59.csv,
LRMC-SoftImpute,50,6,60,LRMC_SoftImpute_completed_p50_rep06_seed60.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep06_seed60.csv,0.4952380952380952,105,52,53,52,0.0580233068819544,0.0490302824252995,0.482896223474077,0.4484760522496371,0.0303320689999964,True,True,True,729,729,729,7,0.1874349168214569,19.652520167549504,0.0,0.0,missing_p50_rep06_seed60.csv,LRMC_SoftImpute_completed_p50_rep06_seed60.csv,
LRMC-SoftImpute,50,7,61,LRMC_SoftImpute_completed_p50_rep07_seed61.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep07_seed61.csv,0.4952380952380952,105,52,53,52,0.058597064978757,0.0477896291905533,0.3922000800838264,0.2256467173226329,0.0285844449972501,True,True,True,654,654,654,8,0.1878968170608871,21.242516347860526,0.0,0.0,missing_p50_rep07_seed61.csv,LRMC_SoftImpute_completed_p50_rep07_seed61.csv,
LRMC-SoftImpute,50,8,62,LRMC_SoftImpute_completed_p50_rep08_seed62.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep08_seed62.csv,0.4952380952380952,105,52,53,52,0.0539631942141588,0.0469389891761413,0.5635211745434896,0.6132502347818662,0.031563003998599,True,True,True,736,736,736,7,0.183940984410945,16.85641946835851,0.0,0.0,missing_p50_rep08_seed62.csv,LRMC_SoftImpute_completed_p50_rep08_seed62.csv,
LRMC-SoftImpute,50,9,63,LRMC_SoftImpute_completed_p50_rep09_seed63.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep09_seed63.csv,0.4952380952380952,105,52,53,52,0.0569284080937528,0.0493230402350552,0.4570268525210139,0.323230598480321,0.0308361630013678,True,True,True,778,778,778,7,0.1952853303149735,21.59261121582964,0.0,0.0,missing_p50_rep09_seed63.csv,LRMC_SoftImpute_completed_p50_rep09_seed63.csv,
LRMC-SoftImpute,50,10,64,LRMC_SoftImpute_completed_p50_rep10_seed64.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep10_seed64.csv,0.4952380952380952,105,52,53,52,0.0592959693265196,0.0516248384775582,0.4384971545655534,0.4808332621873132,0.0547371410066261,True,True,True,1467,1467,1467,8,0.1853152155552121,21.55217093488445,0.0,0.0,missing_p50_rep10_seed64.csv,LRMC_SoftImpute_completed_p50_rep10_seed64.csv,
LRMC-SoftImpute,50,11,65,LRMC_SoftImpute_completed_p50_rep11_seed65.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep11_seed65.csv,0.4952380952380952,105,52,53,52,0.047561074745272,0.0384093012678097,0.7071934415851905,0.5624519764364382,0.0161927650042343,True,True,True,467,467,467,7,0.1620590037163691,16.452960174528016,0.0,0.0,missing_p50_rep11_seed65.csv,LRMC_SoftImpute_completed_p50_rep11_seed65.csv,
LRMC-SoftImpute,50,12,66,LRMC_SoftImpute_completed_p50_rep12_seed66.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p50_rep12_seed66.csv,0.4952380952380952,105,52,53,52,0.0537550031928664,0.0435007335888735,0.5585592926188813,0.4034833091436864,0.0374558820039965,True,True,True,959,959,959,8,0.1818884043985167,20.160133748165013,0.0,0.0,missing_p50_rep12_seed66.csv,LRMC_SoftImpute_completed_p50_rep12_seed66.csv,
